cycle,o_word
1,0
2,0.015625
3,-0.015625
4,1.984375
5,-2
6,0
7,-0.015625
8,0.015625
9,0
10,-0.015625
11,0.015625
12,1.984375
13,1.984375
14,1.984375
15,1.984375
16,1.984375
17,0
18,0.015625
19,-0.015625
20,1.984375
21,-2
22,0
23,-0.015625
24,0.015625
25,0
26,-0.015625
27,0.015625
28,-2
29,-2
30,-2
31,-1.953125
32,-1.375
33,0
34,0.015625
35,-0.015625
36,1.984375
37,-2
38,0
39,-0.015625
40,0.015625
41,0
42,-0.015625
43,0.015625
44,1.984375
45,1.984375
46,1.984375
47,1.984375
48,1.984375
49,0
50,0.015625
51,-0.015625
52,1.984375
53,-2
54,0
55,-0.015625
56,0.015625
57,0
58,-0.015625
59,0.015625
60,-1.1875
61,-0.609375
62,-0.03125
63,0.546875
64,1.125
65,0
66,0.015625
67,-0.015625
68,1.984375
69,-2
70,0
71,-0.015625
72,0.015625
73,0
74,-0.015625
75,0.015625
76,-2
77,-2
78,-2
79,-2
80,-2
81,0
82,0.015625
83,-0.015625
84,1.984375
85,-2
86,0
87,-0.015625
88,0.015625
89,0
90,-0.015625
91,0.015625
92,1.3125
93,1.890625
94,1.984375
95,1.984375
96,1.984375
97,0
98,0.015625
99,-0.015625
100,1.984375
101,-2
102,0
103,-0.015625
104,0.015625
105,0
106,-0.015625
107,0.015625
108,-2
109,-2
110,-2
111,-2
112,-2
113,0
114,0.015625
115,-0.015625
116,1.984375
117,-2
118,0
119,-0.015625
120,0.015625
121,0
122,-0.015625
123,0.015625
124,1.984375
125,1.984375
126,1.984375
127,1.984375
128,1.984375
129,0
130,0.015625
131,-0.015625
132,1.984375
133,-2
134,0
135,-0.015625
136,0.015625
137,0
138,-0.015625
139,0.015625
140,-2
141,-2
142,-1.78125
143,-1.203125
144,-0.625
145,0
146,0.015625
147,-0.015625
148,1.984375
149,-2
150,0
151,-0.015625
152,0.015625
153,0
154,-0.015625
155,0.015625
156,1.984375
157,1.984375
158,1.984375
159,-2
160,-2
161,0
162,0.015625
163,-0.015625
164,1.984375
165,-2
166,0
