cycle,o_word
1,0
2,0
3,0
4,7.9375
5,-8
6,0.0625
7,0
8,0.0625
9,0
10,-0.0625
11,0
12,0.75
13,0.9375
14,1.0625
15,1.1875
16,1.375
17,0
18,0
19,0
20,7.9375
21,-8
22,0.0625
23,0
24,0.0625
25,0
26,-0.0625
27,0
28,3.0625
29,3.25
30,3.375
31,3.5
32,3.6875
33,0
34,0
35,0
36,7.9375
37,-8
38,0.0625
39,0
40,0.0625
41,0
42,-0.0625
43,0
44,5.375
45,5.5625
46,5.6875
47,5.8125
48,6
49,0
50,0
51,0
52,7.9375
53,-8
54,0.0625
55,0
56,0.0625
57,0
58,-0.0625
59,0
60,7.6875
61,7.875
62,7.9375
63,-7.875
64,-7.6875
65,0
66,0
67,0
68,7.9375
69,-8
70,0.0625
71,0
72,0.0625
73,0
74,-0.0625
75,0
76,-6
77,-5.8125
78,-5.6875
79,-5.5625
80,-5.375
81,0
82,0
83,0
84,7.9375
85,-8
86,0.0625
87,0
88,0.0625
89,0
90,-0.0625
91,0
92,-3.6875
93,-3.5
94,-3.375
95,-3.25
96,-3.0625
97,0
98,0
99,0
100,7.9375
101,-8
102,0.0625
103,0
104,0.0625
105,0
106,-0.0625
107,0
108,-1.375
109,-1.1875
110,-1.0625
111,-0.9375
112,-0.75
113,0
114,0
115,0
116,7.9375
117,-8
118,0.0625
119,0
120,0.0625
121,0
122,-0.0625
123,0
124,0.9375
125,1.125
126,1.25
127,1.375
128,1.5625
129,0
130,0
131,0
132,7.9375
133,-8
134,0.0625
135,0
136,0.0625
137,0
138,-0.0625
139,0
140,3.25
141,3.4375
142,3.5625
143,3.6875
144,3.875
145,0
146,0
147,0
148,7.9375
149,-8
150,0.0625
151,0
152,0.0625
153,0
154,-0.0625
155,0
156,5.5625
157,5.75
158,5.875
159,6
160,6.1875
161,0
162,0
163,0
164,7.9375
165,-8
166,0.0625
167,0
168,0.0625
169,0
170,-0.0625
171,0
172,7.875
173,-7.9375
174,-7.8125
175,-7.6875
176,-7.5
177,0
178,0
179,0
180,7.9375
181,-8
182,0.0625
183,0
184,0.0625
185,0
186,-0.0625
187,0
188,-5.8125
189,-5.625
190,-5.5
191,-5.375
192,-5.1875
193,0
194,0
