cycle,o_word
1,0
2,0
3,-0.0625
4,7.9375
5,-8
6,0
7,0
8,0
9,-0.0625
10,-0.0625
11,-0.0625
12,0.75
13,0.875
14,1
15,1.1875
16,1.3125
17,0
18,0
19,-0.0625
20,7.9375
21,-8
22,0
23,0
24,0
25,-0.0625
26,-0.0625
27,-0.0625
28,3.0625
29,3.1875
30,3.3125
31,3.5
32,3.625
33,0
34,0
35,-0.0625
36,7.9375
37,-8
38,0
39,0
40,0
41,-0.0625
42,-0.0625
43,-0.0625
44,5.375
45,5.5
46,5.625
47,5.8125
48,5.9375
49,0
50,0
51,-0.0625
52,7.9375
53,-8
54,0
55,0
56,0
57,-0.0625
58,-0.0625
59,-0.0625
60,7.6875
61,7.8125
62,7.9375
63,-7.875
64,-7.75
65,0
66,0
67,-0.0625
68,7.9375
69,-8
70,0
71,0
72,0
73,-0.0625
74,-0.0625
75,-0.0625
76,-6
77,-5.875
78,-5.75
79,-5.5625
80,-5.4375
81,0
82,0
83,-0.0625
84,7.9375
85,-8
86,0
87,0
88,0
89,-0.0625
90,-0.0625
91,-0.0625
92,-3.6875
93,-3.5625
94,-3.4375
95,-3.25
96,-3.125
97,0
98,0
99,-0.0625
100,7.9375
101,-8
102,0
103,0
104,0
105,-0.0625
106,-0.0625
107,-0.0625
108,-1.375
109,-1.25
110,-1.125
111,-0.9375
112,-0.8125
113,0
114,0
115,-0.0625
116,7.9375
117,-8
118,0
119,0
120,0
121,-0.0625
122,-0.0625
123,-0.0625
124,0.9375
125,1.0625
126,1.1875
127,1.375
128,1.5
129,0
130,0
131,-0.0625
132,7.9375
133,-8
134,0
135,0
136,0
137,-0.0625
138,-0.0625
139,-0.0625
140,3.25
141,3.375
142,3.5
143,3.6875
144,3.8125
145,0
146,0
147,-0.0625
148,7.9375
149,-8
150,0
151,0
152,0
153,-0.0625
154,-0.0625
155,-0.0625
156,5.5625
157,5.6875
158,5.8125
159,6
160,6.125
161,0
162,0
163,-0.0625
164,7.9375
165,-8
166,0
167,0
168,0
169,-0.0625
170,-0.0625
171,-0.0625
172,7.875
173,-8
174,-7.875
175,-7.6875
176,-7.5625
177,0
178,0
179,-0.0625
180,7.9375
181,-8
182,0
183,0
184,0
