cycle,i_word
1,0
2,0.000244141
3,-0.000244141
4,7.99976
5,-8
6,0.00195313
7,0.00170898
8,0.00219727
9,-0.00195313
10,-0.00219727
11,-0.00170898
12,0.0478516
13,0.0568848
14,0.065918
15,0.0749512
16,0.0839844
17,0
18,0.000244141
19,-0.000244141
20,7.99976
21,-8
22,0.00195313
23,0.00170898
24,0.00219727
25,-0.00195313
26,-0.00219727
27,-0.00170898
28,0.192383
29,0.201416
30,0.210449
31,0.219482
32,0.228516
33,0
34,0.000244141
35,-0.000244141
36,7.99976
37,-8
38,0.00195313
39,0.00170898
40,0.00219727
41,-0.00195313
42,-0.00219727
43,-0.00170898
44,0.336914
45,0.345947
46,0.35498
47,0.364014
48,0.373047
49,0
50,0.000244141
51,-0.000244141
52,7.99976
53,-8
54,0.00195313
55,0.00170898
56,0.00219727
57,-0.00195313
58,-0.00219727
59,-0.00170898
60,0.481445
61,0.490479
62,0.499512
63,0.508545
64,0.517578
65,0
66,0.000244141
67,-0.000244141
68,7.99976
69,-8
70,0.00195313
71,0.00170898
72,0.00219727
73,-0.00195313
74,-0.00219727
75,-0.00170898
76,0.625977
77,0.63501
78,0.644043
79,0.653076
80,0.662109
81,0
82,0.000244141
83,-0.000244141
84,7.99976
85,-8
86,0.00195313
87,0.00170898
88,0.00219727
89,-0.00195313
90,-0.00219727
91,-0.00170898
92,0.770508
93,0.779541
94,0.788574
95,0.797607
96,0.806641
97,0
98,0.000244141
99,-0.000244141
100,7.99976
101,-8
102,0.00195313
103,0.00170898
104,0.00219727
105,-0.00195313
106,-0.00219727
107,-0.00170898
108,0.915039
109,0.924072
110,0.933105
111,0.942139
112,0.951172
113,0
114,0.000244141
115,-0.000244141
116,7.99976
117,-8
118,0.00195313
119,0.00170898
120,0.00219727
121,-0.00195313
122,-0.00219727
123,-0.00170898
124,1.05957
125,1.0686
126,1.07764
127,1.08667
128,1.0957
129,0
130,0.000244141
131,-0.000244141
132,7.99976
133,-8
134,0.00195313
135,0.00170898
136,0.00219727
137,-0.00195313
138,-0.00219727
139,-0.00170898
140,1.2041
141,1.21313
142,1.22217
143,1.2312
144,1.24023
145,0
146,0.000244141
147,-0.000244141
148,7.99976
149,-8
150,0.00195313
151,0.00170898
152,0.00219727
153,-0.00195313
154,-0.00219727
155,-0.00170898
156,1.34863
157,1.35767
158,1.3667
159,1.37573
160,1.38477
161,0
162,0.000244141
163,-0.000244141
164,7.99976
165,-8
166,0.00195313
167,0.00170898
168,0.00219727
169,-0.00195313
170,-0.00219727
171,-0.00170898
172,1.49316
173,1.5022
174,1.51123
175,1.52026
176,1.5293
177,0
178,0.000244141
179,-0.000244141
180,7.99976
181,-8
182,0.00195313
183,0.00170898
184,0.00219727
185,-0.00195313
186,-0.00219727
187,-0.00170898
188,1.6377
189,1.64673
190,1.65576
191,1.66479
192,1.67383
193,0
194,0.000244141
195,-0.000244141
196,7.99976
197,-8
198,0.00195313
199,0.00170898
200,0.00219727
201,-0.00195313
202,-0.00219727
203,-0.00170898
204,1.78223
205,1.79126
206,1.80029
207,1.80933
208,1.81836
209,0
210,0.000244141
211,-0.000244141
212,7.99976
213,-8
214,0.00195313
215,0.00170898
216,0.00219727
217,-0.00195313
218,-0.00219727
219,-0.00170898
220,1.92676
221,1.93579
222,1.94482
223,1.95386
224,1.96289
225,0
226,0.000244141
227,-0.000244141
228,7.99976
229,-8
230,0.00195313
231,0.00170898
232,0.00219727
233,-0.00195313
234,-0.00219727
235,-0.00170898
236,2.07129
237,2.08032
238,2.08936
239,2.09839
240,2.10742
241,0
242,0.000244141
243,-0.000244141
244,7.99976
245,-8
246,0.00195313
247,0.00170898
248,0.00219727
249,-0.00195313
250,-0.00219727
251,-0.00170898
252,2.21582
253,2.22485
254,2.23389
255,2.24292
256,2.25195
257,0
258,0.000244141
259,-0.000244141
260,7.99976
261,-8
262,0.00195313
263,0.00170898
