cycle,o_word
1,0
2,0
3,-0.0625
4,1.9375
5,-2
6,0
7,0
8,0.0625
9,-0.0625
10,-0.0625
11,0
12,-1.875
13,-0.75
14,0.4375
15,1.5625
16,1.9375
17,0
18,0
19,-0.0625
20,1.9375
21,-2
22,0
23,0
24,0.0625
25,-0.0625
26,-0.0625
27,0
28,0.625
29,1.75
30,1.9375
31,-2
32,-2
33,0
34,0
35,-0.0625
36,1.9375
37,-2
38,0
39,0
40,0.0625
41,-0.0625
42,-0.0625
43,0
44,1.9375
45,-2
46,-2
47,-1.4375
48,-0.25
49,0
50,0
51,-0.0625
52,1.9375
53,-2
54,0
55,0
56,0.0625
57,-0.0625
58,-0.0625
59,0
60,-2
61,-1.25
62,-0.0625
63,1.0625
64,1.9375
65,0
66,0
67,-0.0625
68,1.9375
69,-2
70,0
71,0
72,0.0625
73,-0.0625
74,-0.0625
75,0
76,0.125
77,1.25
78,1.9375
79,1.9375
80,-2
81,0
82,0
83,-0.0625
84,1.9375
85,-2
86,0
87,0
88,0.0625
89,-0.0625
90,-0.0625
91,0
92,1.9375
93,1.9375
94,-2
95,-1.9375
96,-0.75
97,0
98,0
99,-0.0625
100,1.9375
101,-2
102,0
103,0
104,0.0625
105,-0.0625
106,-0.0625
107,0
108,-2
109,-1.75
110,-0.5625
111,0.5625
112,1.75
113,0
114,0
115,-0.0625
116,1.9375
117,-2
118,0
119,0
120,0.0625
121,-0.0625
122,-0.0625
123,0
124,-0.375
125,0.75
126,1.9375
127,1.9375
128,-2
129,0
130,0
131,-0.0625
132,1.9375
133,-2
134,0
135,0
136,0.0625
137,-0.0625
138,-0.0625
139,0
140,1.9375
141,1.9375
142,-2
143,-2
144,-1.25
145,0
146,0
147,-0.0625
148,1.9375
149,-2
150,0
151,0
152,0.0625
153,-0.0625
154,-0.0625
155,0
156,-2
157,-2
158,-1.0625
159,0.0625
160,1.25
161,0
162,0
163,-0.0625
164,1.9375
165,-2
166,0
167,0
168,0.0625
169,-0.0625
170,-0.0625
171,0
172,-0.875
173,0.25
174,1.4375
175,1.9375
176,1.9375
177,0
178,0
179,-0.0625
180,1.9375
181,-2
182,0
183,0
184,0.0625
185,-0.0625
186,-0.0625
187,0
188,1.625
